front,back
dataset,"Conjunto estructurado de datos organizados para su análisis"
dataframe,"Estructura tabular de filas y columnas usada para manipular datos"
feature,"Variable o atributo individual usado como entrada en un modelo"
outlier,"Valor atípico que se desvía significativamente del resto de los datos"
missing value,"Dato ausente o no registrado en un conjunto de datos"
data wrangling,"Proceso de limpiar y transformar datos crudos en un formato utilizable"
exploratory data analysis,"Análisis inicial de datos para descubrir patrones y anomalías"
correlation,"Relación estadística entre dos variables que indica cómo cambian juntas"
distribution,"Función que describe la probabilidad de los posibles valores de una variable"
standard deviation,"Medida de dispersión que indica cuánto se alejan los datos de la media"
normalization,"Proceso de escalar datos a un rango común, típicamente entre 0 y 1"
data pipeline,"Secuencia automatizada de pasos para mover y transformar datos"
ETL,"Proceso de extraer datos de una fuente, transformarlos y cargarlos en un destino"
hypothesis testing,"Método estadístico para determinar si una suposición sobre los datos es válida"
p-value,"Probabilidad de obtener un resultado al menos tan extremo como el observado, asumiendo que la hipótesis nula es cierta"
confidence interval,"Rango de valores que probablemente contiene el verdadero parámetro poblacional"
sampling bias,"Error sistemático causado por una selección no representativa de datos"
dimensionality reduction,"Técnica para reducir el número de variables manteniendo la información esencial"
cross-validation,"Método de evaluación que divide los datos en subconjuntos para entrenar y validar un modelo"
A/B testing,"Experimento controlado que compara dos variantes para determinar cuál es más efectiva"
