front,back
supervised learning,"Aprendizaje donde el modelo se entrena con datos etiquetados de entrada y salida esperada"
unsupervised learning,"Aprendizaje donde el modelo encuentra patrones en datos sin etiquetas"
reinforcement learning,"Aprendizaje donde un agente aprende a tomar decisiones mediante recompensas y penalizaciones"
overfitting,"Cuando un modelo se ajusta demasiado a los datos de entrenamiento y pierde capacidad de generalización"
underfitting,"Cuando un modelo es demasiado simple para capturar los patrones subyacentes en los datos"
gradient descent,"Algoritmo de optimización que ajusta los parámetros del modelo minimizando la función de pérdida"
learning rate,"Hiperparámetro que controla el tamaño de los pasos en la actualización de pesos durante el entrenamiento"
loss function,"Función que mide la diferencia entre la predicción del modelo y el valor real"
epoch,"Una pasada completa del algoritmo de entrenamiento sobre todo el conjunto de datos"
batch size,"Número de muestras procesadas antes de actualizar los parámetros del modelo"
regularization,"Técnica que penaliza la complejidad del modelo para prevenir el sobreajuste"
hyperparameter,"Parámetro cuyo valor se establece antes del entrenamiento y no se aprende de los datos"
decision tree,"Modelo que toma decisiones dividiendo los datos en ramas según condiciones sobre las variables"
random forest,"Conjunto de árboles de decisión que combina sus predicciones para mejorar la precisión"
neural network,"Modelo computacional inspirado en el cerebro, compuesto por capas de neuronas interconectadas"
backpropagation,"Algoritmo que calcula el gradiente del error y lo propaga hacia atrás para ajustar los pesos de la red"
activation function,"Función que introduce no linealidad en una neurona, determinando si se activa o no"
convolutional neural network,"Red neuronal especializada en procesar datos con estructura de cuadrícula, como imágenes"
transfer learning,"Técnica que reutiliza un modelo preentrenado en una tarea similar para acelerar el aprendizaje"
ensemble method,"Técnica que combina múltiples modelos para obtener predicciones más robustas y precisas"
