front,back
tokenization,"Proceso de dividir un texto en unidades más pequeñas llamadas tokens"
stemming,"Técnica que reduce las palabras a su raíz eliminando sufijos morfológicos"
lemmatization,"Proceso de reducir una palabra a su forma base o lema usando análisis morfológico"
stop words,"Palabras muy frecuentes que generalmente se eliminan del texto por no aportar significado relevante"
bag of words,"Representación de texto como un conjunto de palabras sin considerar el orden ni la gramática"
TF-IDF,"Medida estadística que evalúa la importancia de una palabra en un documento respecto a un corpus"
word embedding,"Representación vectorial densa de palabras que captura relaciones semánticas entre ellas"
named entity recognition,"Tarea de identificar y clasificar entidades como personas, lugares y organizaciones en un texto"
sentiment analysis,"Proceso de determinar la actitud o emoción expresada en un texto"
part-of-speech tagging,"Asignación de categorías gramaticales a cada palabra de una oración"
language model,"Modelo probabilístico que predice la siguiente palabra o token dada una secuencia de texto"
attention mechanism,"Mecanismo que permite al modelo enfocarse en las partes más relevantes de la entrada"
transformer,"Arquitectura de red neuronal basada en mecanismos de atención, sin recurrencia ni convolución"
sequence-to-sequence,"Modelo que transforma una secuencia de entrada en una secuencia de salida de longitud variable"
text classification,"Tarea de asignar categorías predefinidas a fragmentos de texto"
machine translation,"Traducción automática de texto de un idioma a otro mediante modelos computacionales"
corpus,"Colección grande y estructurada de textos usada para entrenar y evaluar modelos de lenguaje"
perplexity,"Métrica que mide qué tan bien un modelo de lenguaje predice una muestra de texto"
fine-tuning,"Proceso de ajustar un modelo preentrenado con datos específicos de una tarea particular"
hallucination,"Generación de texto que parece plausible pero es factualmente incorrecto o inventado"
